X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
0,PLAYER_755,7/6/2022,406.633599,3201.765947,NA,NA,NA,NA,NA,NA
1,PLAYER_755,7/6/2022,407.565883,3214.285332,NA,NA,NA,NA,NA,NA
2,PLAYER_755,7/6/2022,NA,NA,320.5,171.62775,274.5,146.99475,24.633,46
3,PLAYER_755,7/7/2022,417.98176,3225.979967,NA,NA,NA,NA,NA,NA
4,PLAYER_755,7/8/2022,351.386839,2498.038037,NA,NA,NA,NA,NA,NA
5,PLAYER_755,7/11/2022,441.64299,3390.016186,NA,NA,NA,NA,NA,NA
6,PLAYER_755,7/12/2022,486.616727,3819.761179,NA,NA,NA,NA,NA,NA
7,PLAYER_755,7/13/2022,127.826938,910.32148,NA,NA,NA,NA,NA,NA
8,PLAYER_755,7/14/2022,466.219572,3766.145812,NA,NA,NA,NA,NA,NA
9,PLAYER_755,7/19/2022,417.514201,3215.584996,NA,NA,NA,NA,NA,NA
10,PLAYER_755,7/19/2022,NA,NA,337.5,180.73125,279.75,149.806125,30.925125,57.75
11,PLAYER_755,7/20/2022,468.49732,3833.345638,NA,NA,NA,NA,NA,NA
12,PLAYER_755,7/21/2022,415.555241,3204.180278,NA,NA,NA,NA,NA,NA
13,PLAYER_755,7/22/2022,NA,NA,220.5,118.07775,244.5,130.92975,-12.852,-24
14,PLAYER_755,7/26/2022,323.409289,2656.400155,NA,NA,NA,NA,NA,NA
15,PLAYER_755,7/28/2022,534.946593,4396.245192,NA,NA,NA,NA,NA,NA
16,PLAYER_755,7/29/2022,525.226594,4006.404066,NA,NA,NA,NA,NA,NA
17,PLAYER_755,8/1/2022,283.954427,2240.360162,NA,NA,NA,NA,NA,NA
18,PLAYER_755,8/2/2022,20.696398,233.51356,NA,NA,NA,NA,NA,NA
19,PLAYER_755,8/3/2022,529.889716,4189.052337,NA,NA,NA,NA,NA,NA
20,PLAYER_755,8/4/2022,334.778032,2339.590028,NA,NA,NA,NA,NA,NA
21,PLAYER_755,8/4/2022,334.492255,2336.435515,NA,NA,NA,NA,NA,NA
22,PLAYER_755,8/8/2022,416.037755,3147.750203,NA,NA,NA,NA,NA,NA
23,PLAYER_755,8/8/2022,NA,NA,364,194.922,302.75,162.122625,32.799375,61.25
24,PLAYER_755,8/9/2022,468.872242,3635.718122,NA,NA,NA,NA,NA,NA
25,PLAYER_755,8/22/2022,NA,NA,331.75,177.652125,315,168.6825,8.969625,16.75
26,PLAYER_755,8/29/2022,417.024946,2960.00518,NA,NA,NA,NA,NA,NA
27,PLAYER_755,8/30/2022,424.905687,3446.61435,NA,NA,NA,NA,NA,NA
28,PLAYER_755,8/31/2022,416.888868,3363.326159,NA,NA,NA,NA,NA,NA
29,PLAYER_755,9/1/2022,393.567274,2969.944899,NA,NA,NA,NA,NA,NA
30,PLAYER_755,9/6/2022,449.154935,3258.253236,NA,NA,NA,NA,NA,NA
31,PLAYER_755,9/7/2022,496.031276,3619.070656,NA,NA,NA,NA,NA,NA
32,PLAYER_755,9/8/2022,475.898093,3596.513124,NA,NA,NA,NA,NA,NA
33,PLAYER_755,9/9/2022,NA,NA,314.5,168.41475,285.75,153.019125,15.395625,28.75
34,PLAYER_755,9/9/2022,472.189093,3602.639429,NA,NA,NA,NA,NA,NA
35,PLAYER_755,9/12/2022,368.527953,2805.794169,NA,NA,NA,NA,NA,NA
36,PLAYER_755,9/13/2022,313.485695,2537.133841,NA,NA,NA,NA,NA,NA
37,PLAYER_755,9/14/2022,417.766286,3336.806219,NA,NA,NA,NA,NA,NA
38,PLAYER_755,9/15/2022,459.453054,3005.128934,NA,NA,NA,NA,NA,NA
39,PLAYER_755,9/16/2022,189.332054,1612.587725,NA,NA,NA,NA,NA,NA
40,PLAYER_755,9/19/2022,510.673768,3793.519705,NA,NA,NA,NA,NA,NA
41,PLAYER_755,9/21/2022,447.160878,3241.522696,NA,NA,NA,NA,NA,NA
42,PLAYER_755,9/22/2022,395.560014,3000.245552,NA,NA,NA,NA,NA,NA
43,PLAYER_755,9/23/2022,NA,NA,340.75,182.471625,308,164.934,17.537625,32.75
44,PLAYER_755,9/23/2022,474.058071,3643.906328,NA,NA,NA,NA,NA,NA
45,PLAYER_755,9/26/2022,577.200145,4318.098462,NA,NA,NA,NA,NA,NA
46,PLAYER_755,9/27/2022,677.092557,5410.314231,NA,NA,NA,NA,NA,NA
47,PLAYER_755,9/29/2022,525.920464,4118.677019,NA,NA,NA,NA,NA,NA
48,PLAYER_755,9/30/2022,668.674637,5236.861678,NA,NA,NA,NA,NA,NA
49,PLAYER_755,10/3/2022,710.43282,5822.441754,NA,NA,NA,NA,NA,NA
