,team
0,Baseball
1,Football
2,"Group: 2023-2024 WBB, Group: Women's Basketball, Team: Stony Brook Women's Basketball"
3,"Group: 21-22, Team: Stony Brook Men's Basketball "
4,"Group: Athletic Performance Staff, Team: Stony Brook"
5,"Group: Baseball Catchers, Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook, Team: Stony Brook Baseball"
6,"Group: Baseball Catchers, Group: Baseball Position Players, Team: Stony Brook Baseball"
7,"Group: Baseball Infielders, Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook Baseball"
8,"Group: Baseball Infielders, Group: Baseball Pitchers, Group: Baseball Position Players, Team: Stony Brook Baseball"
9,"Group: Baseball Infielders, Group: Baseball Position Players, Team: Stony Brook Baseball"
10,"Group: Baseball Outfielders, Group: Baseball Infielders, Group: Baseball Position Players, Team: Stony Brook Baseball"
11,"Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook Baseball"
12,"Group: Baseball Pitchers, Group: Baseball Position Players, Group: Baseball Infielders, Team: Stony Brook Baseball"
13,"Group: Baseball Pitchers, Team: Stony Brook Baseball"
14,"Group: Baseball Position Players, Group: Baseball Catchers, Team: Stony Brook Baseball"
15,"Group: Baseball Position Players, Group: Baseball Infielders, Team: Stony Brook Baseball"
16,"Group: Baseball Position Players, Group: Baseball Outfielders, Group: Baseball Infielders, Team: Stony Brook Baseball"
17,"Group: Baseball Position Players, Group: Baseball Outfielders, Team: Stony Brook Baseball"
18,"Group: Baseball Position Players, Team: Stony Brook Baseball"
19,"Group: Baseball Position Players, Team: Stony Brook, Team: Stony Brook Baseball"
20,"Group: Football Big Skill, Group: Football Skill, Team: Stony Brook Football"
21,"Group: Football Big Skill, Team: Stony Brook Football"
22,"Group: Football Big Skill, Team: Stony Brook Football, Team: Stony Brook"
23,"Group: Football Big Skill, Team: Stony Brook, Team: Stony Brook Football"
24,"Group: Football Bigs, Team: Stony Brook Football"
25,"Group: Football Bigs, Team: Stony Brook Football, Team: Stony Brook"
26,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football"
27,"Group: Football Skill, Team: Stony Brook Football"
28,"Group: Football Skill, Team: Stony Brook, Team: Stony Brook Football"
29,"Group: Men's Basketball, Group: 21-22, Team: Stony Brook Men's Basketball , Team: Stony Brook"
30,"Group: Men's Basketball, Group: 21-22, Team: Stony Brook, Team: Stony Brook Men's Basketball "
31,"Group: Men's Basketball, Group: Men's Basketball, Team: Stony Brook"
32,"Group: Men's Basketball, Team: Stony Brook"
33,"Group: Men's Basketball, Team: Stony Brook Men's Basketball , Team: Stony Brook"
34,"Group: MSOC 21-22, Team: Stony Brook Men's Soccer"
35,"Group: msoc, Group: 2023-2024 WBB, Group: Women's Basketball, Team: Stony Brook Women's Basketball"
36,"Group: msoc, Team: Stony Brook Women's Basketball"
37,"Group: SBU Volleyball, Team: Stony Brook"
38,"Group: SBU Volleyball, Team: Stony Brook, Team: Stony Brook Women's Volleyball"
39,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX"
40,"Group: WLAX , Team: SBU WLAX"
41,"Group: Women's Basketball, Group: 2023-2024 WBB, Team: Stony Brook Women's Basketball"
42,"Group: Women's Basketball, Team: Stony Brook Women's Basketball"
43,Men's Basketball
44,Men's Soccer
45,Mens Basketball
46,Mens Lax
47,Mens Soccer
48,Softball
49,Staff
50,Swim/Dive
51,Team: 1
52,"Team: Men's Basketball 2024-2025, Team: Stony Brook Men's Basketball "
53,Team: nan
54,Team: Old Football
55,Team: SBU WLAX
56,Team: Stony Brook
57,Team: Stony Brook Baseball
58,Team: Stony Brook Football
59,"Team: Stony Brook Football, Team: Stony Brook"
60,Team: Stony Brook Men's Basketball 
61,"Team: Stony Brook Men's Basketball , Team: Men's Basketball 2024-2025"
62,Team: Stony Brook Men's Soccer
63,Team: Stony Brook Men's T&F
64,"Team: Stony Brook Men's T&F, Team: Stony Brook"
65,Team: Stony Brook MLAX
66,"Team: Stony Brook MLAX, Team: Stony Brook"
67,Team: Stony Brook Softball
68,Team: Stony Brook Swimming and Diving
69,Team: Stony Brook Volleyball
70,Team: Stony Brook Women's Basketball
71,Team: Stony Brook Women's T&F
72,"Team: Stony Brook Women's T&F, Team: Stony Brook"
73,Team: Stony Brook Women's Tennis
74,Team: Stony Brook Women's Volleyball
75,Team: Stony Brook Womens Soccer
76,"Team: Stony Brook, Team: Stony Brook Football"
77,"Team: Stony Brook, Team: Stony Brook Men's Basketball "
78,"Team: Stony Brook, Team: Stony Brook Men's T&F"
79,"Team: Stony Brook, Team: Stony Brook MLAX"
80,"Team: Stony Brook, Team: Stony Brook Women's T&F"
81,Tennis
82,Track
83,Volleyball
84,Women's Basketball
85,Women's Lacrosse
86,Women's Soccer
87,Womens Basketball
88,Womens Soccer
