,metric
0,§speed_max_ratio
1,accel_avg
2,accel_load_accum
3,accel_load_accum_avg_per_minute
4,accel_load_avg
5,accel_load_max
6,accel_max
7,accel_min
8,Avg. Braking Force(N)
9,Avg. Braking Power(W)
10,Avg. Braking RFD(N/s)
11,Avg. Braking Velocity(m/s)
12,Avg. Force(N)
13,Avg. Impact Force(N)
14,Avg. Impact Power(W)
15,Avg. Impact Velocity(m/s)
16,Avg. Jump Height(m)
17,Avg. Landing Force(N)
18,Avg. Left Force(N)
19,Avg. mRSI
20,Avg. Propulsive Force(N)
21,Avg. Propulsive Power(W)
22,Avg. Propulsive Velocity(m/s)
23,Avg. Relative Braking Force(%)
24,Avg. Relative Braking Power(W/kg)
25,Avg. Relative Impact Force(%)
26,Avg. Relative Impact Power(W/kg)
27,Avg. Relative Propulsive Force(%)
28,Avg. Relative Propulsive Power(W/kg)
29,Avg. Relative Stabilization Power(W/kg)
30,Avg. Right Force(N)
31,Avg. RSI
32,Avg. Stabilization Force(N)
33,Avg. Stabilization Power(W)
34,Avg. Stabilization Velocity(m/s)
35,Box Height(m)
36,Braking Impulse(N.s)
37,Braking Net Impulse(N.s)
38,Braking Phase %
39,Braking Phase(s)
40,Braking RFD(N/s)
41,CMJ Avg. Braking Force(N)
42,CMJ Avg. Braking Power(W)
43,CMJ Avg. Propulsive Force(N)
44,CMJ Avg. Propulsive Power(W)
45,CMJ Avg. Relative Braking Force(%)
46,CMJ Avg. Relative Braking Power(W/kg)
47,CMJ Avg. Relative Propulsive Force(%)
48,CMJ Avg. Relative Propulsive Power(W/kg)
49,CMJ Braking Impulse(N.s)
50,CMJ Braking Net Impulse(N.s)
51,CMJ Braking RFD(N/s)
52,CMJ Depth(m)
53,CMJ Force At Min Displacement(N)
54,CMJ Jump Height(m)
55,CMJ Jump Momentum(kg.m/s)
56,CMJ L|R Avg. Braking Force(%)
57,CMJ L|R Avg. Propulsive Force(%)
58,CMJ L|R Braking Impulse Index(%)
59,CMJ L|R Propulsive Impulse Index(%)
60,CMJ Modified RSI
61,CMJ Peak Braking Force(N)
62,CMJ Peak Braking Power(W)
63,CMJ Peak Propulsive Force(N)
64,CMJ Peak Propulsive Power(W)
65,CMJ Peak Relative Braking Force(%)
66,CMJ Peak Relative Braking Power(W/kg)
67,CMJ Peak Relative Propulsive Force(%)
68,CMJ Peak Relative Propulsive Power(W/kg)
69,CMJ Propulsive Impulse(N.s)
70,CMJ Propulsive Net Impulse(N.s)
71,CMJ Relative Braking Impulse(N.s/kg)
72,CMJ Relative Braking Net Impulse(N.s/kg)
73,CMJ Relative Force At Min Displacement(%)
74,CMJ Relative Propulsive Impulse(N.s/kg)
75,CMJ Relative Propulsive Net Impulse(N.s/kg)
76,CMJ RSI
77,CMJ Time To Takeoff(s)
78,Contact Time(s)
79,Contact Velocity(m/s)
80,Countermovement Depth(m)
81,disk_usage
82,distance_acceleration_load_category1
83,distance_acceleration_load_category2
84,distance_acceleration_load_category3
85,distance_acceleration_load_category4
86,distance_anaerobic_activity
87,distance_high_metabolic_load
88,distance_high_metabolic_load_avg_per_minute
89,distance_high_metabolic_power
90,distance_high_metabolic_power_avg_per_minute
91,distance_speed_category1
92,distance_speed_category1_avg_per_minute
93,distance_speed_category2
94,distance_speed_category2_avg_per_minute
95,distance_speed_category3
96,distance_speed_category3_avg_per_minute
97,distance_speed_category4
98,distance_speed_category4_avg_per_minute
99,distance_speed_category5
100,distance_speed_category5_avg_per_minute
101,distance_speed_category6
102,distance_speed_category6_avg_per_minute
103,distance_total
104,distance_total_avg_per_minute
105,event_count_acceleration
106,event_count_acceleration_avg_per_minute
107,event_count_acceleration_category1
108,event_count_acceleration_category1_avg_per_minute
109,event_count_acceleration_category2
110,event_count_acceleration_category2_avg_per_minute
111,event_count_acceleration_category3
112,event_count_acceleration_category3_avg_per_minute
113,event_count_acceleration_category4
114,event_count_acceleration_category4_avg_per_minute
115,event_count_acceleration_category5
116,event_count_acceleration_category5_avg_per_minute
117,event_count_acceleration_category6
118,event_count_acceleration_category6_avg_per_minute
119,event_count_acceleration_category7
120,event_count_acceleration_category7_avg_per_minute
121,event_count_change_of_direction
122,event_count_change_of_direction_avg_per_minute
123,event_count_change_of_direction_left
124,event_count_change_of_direction_left_avg_per_minute
125,event_count_change_of_direction_right
126,event_count_change_of_direction_right_avg_per_minute
127,event_count_change_of_orientation
128,event_count_change_of_orientation_avg_per_minute
129,event_count_deceleration
130,event_count_deceleration_avg_per_minute
131,event_count_deceleration_category1
132,event_count_deceleration_category1_avg_per_minute
133,event_count_deceleration_category2
134,event_count_deceleration_category2_avg_per_minute
135,event_count_deceleration_category3
136,event_count_deceleration_category3_avg_per_minute
137,event_count_deceleration_category4
138,event_count_deceleration_category4_avg_per_minute
139,event_count_deceleration_category5
140,event_count_deceleration_category5_avg_per_minute
141,event_count_deceleration_category6
142,event_count_deceleration_category6_avg_per_minute
143,event_count_deceleration_category7
144,event_count_deceleration_category7_avg_per_minute
145,event_count_dfl_sprint
146,event_count_dfl_sprint_avg_per_minute
147,event_count_exertion
148,event_count_exertion_avg_per_minute
149,event_count_exertion_category1
150,event_count_exertion_category1_avg_per_minute
151,event_count_exertion_category2
152,event_count_exertion_category2_avg_per_minute
153,event_count_exertion_category3
154,event_count_exertion_category3_avg_per_minute
155,event_count_exertion_category4
156,event_count_exertion_category4_avg_per_minute
157,event_count_exertion_category5
158,event_count_exertion_category5_avg_per_minute
159,event_count_exertion_category6
160,event_count_exertion_category6_avg_per_minute
161,event_count_exertion_category7
162,event_count_exertion_category7_avg_per_minute
163,event_count_heart_rate_recovery
164,event_count_heart_rate_recovery_avg_per_minute
165,event_count_jump
166,event_count_jump_avg_per_minute
167,event_count_jump_category1
168,event_count_jump_category1_avg_per_minute
169,event_count_jump_category2
170,event_count_jump_category2_avg_per_minute
171,event_count_jump_category3
172,event_count_jump_category3_avg_per_minute
173,event_count_jump_category4
174,event_count_jump_category4_avg_per_minute
175,event_count_jump_category5
176,event_count_jump_category5_avg_per_minute
177,event_count_jump_category6
178,event_count_jump_category6_avg_per_minute
179,event_count_jump_category7
180,event_count_jump_category7_avg_per_minute
181,event_count_speed_zone_entry
182,event_count_speed_zone_entry_avg_per_minute
183,event_count_speed_zone_entry_category1
184,event_count_speed_zone_entry_category1_avg_per_minute
185,event_count_speed_zone_entry_category2
186,event_count_speed_zone_entry_category2_avg_per_minute
187,event_count_speed_zone_entry_category3
188,event_count_speed_zone_entry_category3_avg_per_minute
189,event_count_speed_zone_entry_category4
190,event_count_speed_zone_entry_category4_avg_per_minute
191,event_count_speed_zone_entry_category5
192,event_count_speed_zone_entry_category5_avg_per_minute
193,event_count_speed_zone_entry_category6
194,event_count_speed_zone_entry_category6_avg_per_minute
195,event_count_speed_zone_entry_category7
196,event_count_speed_zone_entry_category7_avg_per_minute
197,event_count_tag
198,event_count_tag_avg_per_minute
199,event_count_tempo_run
200,event_count_tempo_run_avg_per_minute
201,Flight Time(s)
202,Force at 0 ms(N)
203,Force at 100 ms(N)
204,Force at 150 ms(N)
205,Force at 200 ms(N)
206,Force at 250 ms(N)
207,Force at 50 ms(N)
208,Force at Min Displacement(N)
209,heart_rate_avg
210,heart_rate_max
211,heart_rate_min
212,human_core_temperature_avg
213,human_core_temperature_max
214,Impact Peak(Yes/No)
215,Impact Phase %
216,Impact Phase(s)
217,Impact RFD(N/s)
218,Impulse 0-100ms(N.s)
219,Impulse 0-150ms(N.s)
220,Impulse 0-200ms(N.s)
221,Impulse 0-250ms(N.s)
222,Impulse 0-50ms(N.s)
223,Impulse Ratio
224,Initiation Threshold(N)
225,Jump Height(m)
226,Jump Momentum(kg.m/s)
227,jump_height_max
228,jump_load
229,jump_load_avg_per_minute
230,jump_load_per_mass
231,jump_load_per_mass_avg_per_minute
232,L|R Avg. Braking Force(%)
233,L|R Avg. Braking RFD(%)
234,L|R Avg. Force(%)
235,L|R Avg. Impact Force(%)
236,L|R Avg. Landing Force(%)
237,L|R Avg. Propulsive Force(%)
238,L|R Avg. Stabilization Force(%)
239,L|R Braking Impulse Index(%)
240,L|R Impact RFD(%)
241,L|R Landing Impulse Index(%)
242,L|R Peak Braking Force(%)
243,L|R Peak Force(%)
244,L|R Peak Landing Force(%)
245,L|R Peak Propulsive Force(%)
246,L|R Propulsive Impulse Index(%)
247,Landing Height(m)
