metric,record_count,min_timestamp,max_timestamp
System Weight(N),32373,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Velocity(m/s),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Propulsive Phase(s),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Relative Propulsive Force(%),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Propulsive Power(W),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Propulsive Force(N),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Propulsive Net Impulse(N.s),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Jump Height(m),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Propulsive Force(N),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Propulsive Power(W),32123,2018-10-15 19:27:41,2025-10-14 12:50:32
