metric,record_count,min_timestamp,max_timestamp
distance_total,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
accel_load_accum,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category3,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_avg_per_minute,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category1,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category2_avg_per_minute,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category3_avg_per_minute,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category2,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
event_count_exertion_category1_avg_per_minute,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
