metric,record_count,min_timestamp,max_timestamp
leftAvgForce,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
leftCalibration,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
leftImpulse,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
leftMaxForce,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
leftRepetitions,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
leftTorque,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
rightAvgForce,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
rightCalibration,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
rightImpulse,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
rightMaxForce,4275,2020-12-10 17:47:10,2025-10-01 15:11:46
