metric,record_count,unique_team_count,team
System Weight(N),31467,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Propulsive Net Impulse(N.s),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Propulsive Force(N),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Propulsive Power(W),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Jump Height(m),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Velocity(m/s),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Propulsive Phase(s),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Propulsive Power(W),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Relative Propulsive Force(%),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Propulsive Force(N),31295,71,"Team: Stony Brook, Team: Stony Brook Womens T&F"
