,team,metric,playername,data_source,player_mean_value,team_avg_value,percent_difference_from_team_mean,timestamp
0,Baseball,leftMaxForce,PLAYER_416,vald,254.23,415.94,-38.87820358705583,2021-02-03 19:54:26
1,Baseball,leftMaxForce,PLAYER_874,vald,307.75,415.94,-26.010963119680724,2024-01-26 21:20:13
2,Baseball,leftMaxForce,PLAYER_140,vald,308.08,415.94,-25.931624753570233,2024-01-26 21:14:10
3,Baseball,leftMaxForce,PLAYER_401,vald,311.75,415.94,-25.049285954705002,2023-12-01 21:45:43
4,Baseball,leftMaxForce,PLAYER_199,vald,331.0,415.94,-20.42121459825936,2024-08-28 18:54:08
5,Baseball,leftTorque,PLAYER_416,vald,117.84,184.79,-36.230315493262616,2022-09-16 20:27:53
6,Baseball,leftTorque,PLAYER_874,vald,133.95,184.79,-27.512311272254998,2023-12-01 21:17:00
7,Baseball,leftTorque,PLAYER_140,vald,137.62,184.79,-25.526273066724386,2023-12-01 21:58:02
8,Baseball,leftTorque,PLAYER_401,vald,140.53,184.79,-23.95151252773418,2023-12-01 21:45:43
9,Baseball,leftTorque,PLAYER_934,vald,149.54,184.79,-19.075707559932898,2024-08-28 18:36:23
10,Baseball,rightMaxForce,PLAYER_401,vald,255.63,400.05,-36.100487439070115,2023-09-01 21:40:01
11,Baseball,rightMaxForce,PLAYER_874,vald,277.54,400.05,-30.62367204099487,2022-08-26 20:36:58
12,Baseball,rightMaxForce,PLAYER_1133,vald,298.36,400.05,-25.419322584676912,2021-11-05 20:35:36
13,Baseball,rightMaxForce,PLAYER_140,vald,301.0,400.05,-24.759405074365706,2023-12-01 21:58:02
14,Baseball,rightMaxForce,PLAYER_917,vald,301.5,400.05,-24.634420697412825,2025-09-02 16:49:25
15,Baseball,rightTorque,PLAYER_401,vald,115.22,177.69,-35.15673363723339,2023-12-01 21:45:43
16,Baseball,rightTorque,PLAYER_874,vald,120.91,177.69,-31.954527547976813,2023-01-20 20:51:42
17,Baseball,rightTorque,PLAYER_917,vald,126.18,177.69,-28.988688164781358,2025-09-02 16:49:25
18,Baseball,rightTorque,PLAYER_140,vald,134.41,177.69,-24.357026281726604,2023-12-01 21:58:02
19,Baseball,rightTorque,PLAYER_934,vald,139.85,177.69,-21.29551466036356,2025-09-02 16:50:53
20,Football,accel_load_accum,PLAYER_526,kinexon,336.02,414.24,-18.882773271533416,2025-07-17 12:12:43
21,Football,accel_load_accum,PLAYER_606,kinexon,345.98,414.24,-16.478370027037464,2023-10-24 13:10:18
22,Football,accel_load_accum,PLAYER_021,kinexon,353.62,414.24,-14.634028582464273,2025-02-18 13:42:45
23,Football,accel_load_accum,PLAYER_529,kinexon,357.14,414.24,-13.784279644650448,2023-08-12 11:50:03
24,Football,accel_load_accum,PLAYER_198,kinexon,360.81,414.24,-12.898319814600235,2025-03-24 11:45:09
25,Football,distance_total,PLAYER_351,kinexon,114.81,2926.21,-96.07649485170238,2023-06-14 20:17:12
26,Football,distance_total,PLAYER_948,kinexon,1977.37,2926.21,-32.425560708219855,2024-02-01 11:40:42
27,Football,distance_total,PLAYER_482,kinexon,2173.58,2926.21,-25.72030032020942,2024-04-20 12:05:16
28,Football,distance_total,PLAYER_1053,kinexon,2187.54,2926.21,-25.243232713988405,2024-02-01 13:39:19
29,Football,distance_total,PLAYER_606,kinexon,2232.22,2926.21,-23.71634298290281,2024-02-01 11:40:42
30,Football,leftMaxForce,PLAYER_395,vald,231.25,490.77,-52.880167899423355,2025-01-28 13:31:27
31,Football,leftMaxForce,PLAYER_565,vald,294.0,490.77,-40.0941377834831,2025-01-28 13:38:21
32,Football,leftMaxForce,PLAYER_216,vald,334.68,490.77,-31.80512256250382,2022-06-17 15:00:24
33,Football,leftMaxForce,PLAYER_575,vald,378.51,490.77,-22.87425881777615,2023-01-23 16:01:36
34,Football,leftMaxForce,PLAYER_798,vald,380.67,490.77,-22.43413411577724,2024-07-26 11:44:42
35,Football,leftTorque,PLAYER_395,vald,98.86,221.47,-55.36190003160699,2025-01-28 13:31:27
36,Football,leftTorque,PLAYER_565,vald,138.92,221.47,-37.273671377613226,2025-01-28 13:38:21
37,Football,leftTorque,PLAYER_216,vald,140.07,221.47,-36.754413690341806,2022-04-23 19:45:46
38,Football,leftTorque,PLAYER_1072,vald,155.39,221.47,-29.836998239039154,2023-07-31 17:35:07
39,Football,leftTorque,PLAYER_197,vald,157.41,221.47,-28.92491082313632,2025-06-02 16:17:49
40,Football,rightMaxForce,PLAYER_565,vald,263.5,466.38,-43.501007761910884,2025-01-28 13:38:21
41,Football,rightMaxForce,PLAYER_1072,vald,288.5,466.38,-38.1405720656975,2023-07-31 17:35:07
42,Football,rightMaxForce,PLAYER_395,vald,311.25,466.38,-33.26257558214331,2025-01-28 13:31:27
43,Football,rightMaxForce,PLAYER_798,vald,324.42,466.38,-30.4386980573781,2024-07-03 13:28:48
44,Football,rightMaxForce,PLAYER_216,vald,343.98,466.38,-26.244693168660742,2022-02-18 14:27:13
45,Football,rightTorque,PLAYER_1072,vald,110.35,210.26,-47.51735945971654,2023-07-31 17:35:07
46,Football,rightTorque,PLAYER_565,vald,124.5,210.26,-40.787596309331306,2025-01-28 13:38:21
47,Football,rightTorque,PLAYER_395,vald,133.06,210.26,-36.716446304575285,2025-01-28 13:31:27
48,Football,rightTorque,PLAYER_216,vald,143.95,210.26,-31.53714448777704,2024-10-08 11:28:16
49,Football,rightTorque,PLAYER_952,vald,147.97,210.26,-29.625225910777132,2023-05-01 13:26:24
50,Mens Basketball,accel_load_accum,PLAYER_1083,kinexon,79.9,534.23,-85.04389495161261,2023-07-25 16:30:58
51,Mens Basketball,accel_load_accum,PLAYER_1053,kinexon,107.72,534.23,-79.83640005241188,2021-07-28 13:30:21
52,Mens Basketball,accel_load_accum,PLAYER_047,kinexon,121.41,534.23,-77.27383336765065,2021-07-28 13:30:21
53,Mens Basketball,accel_load_accum,PLAYER_294,kinexon,136.21,534.23,-74.50349100574658,2021-07-28 13:30:21
54,Mens Basketball,accel_load_accum,PLAYER_312,kinexon,137.5,534.23,-74.26202197555361,2021-07-28 13:30:21
55,Mens Basketball,distance_total,PLAYER_1083,kinexon,667.01,3913.87,-82.95778858265604,2023-07-07 16:45:26
56,Mens Basketball,distance_total,PLAYER_1053,kinexon,916.77,3913.87,-76.57638092220743,2021-07-28 13:30:21
57,Mens Basketball,distance_total,PLAYER_047,kinexon,1164.85,3913.87,-70.23789752853314,2021-07-28 13:30:21
58,Mens Basketball,distance_total,PLAYER_294,kinexon,1186.64,3913.87,-69.6811595684067,2021-07-28 13:30:21
59,Mens Basketball,distance_total,PLAYER_312,kinexon,1214.71,3913.87,-68.96396661105248,2021-07-28 13:30:21
60,Mens Basketball,leftMaxForce,PLAYER_404,vald,241.33,414.04,-41.71336102792001,2025-06-23 13:41:55
61,Mens Basketball,leftMaxForce,PLAYER_755,vald,355.41,414.04,-14.160467587672688,2022-08-08 18:25:06
62,Mens Basketball,leftMaxForce,PLAYER_1186,vald,380.56,414.04,-8.086175248768239,2022-08-08 18:29:49
63,Mens Basketball,leftMaxForce,PLAYER_252,vald,389.25,414.04,-5.9873442179499605,2024-06-24 17:41:14
64,Mens Basketball,leftMaxForce,PLAYER_995,vald,396.39,414.04,-4.262873152352438,2025-04-11 16:47:15
65,Mens Basketball,leftTorque,PLAYER_404,vald,122.68,199.34,-38.45690779572589,2025-06-23 13:41:55
66,Mens Basketball,leftTorque,PLAYER_252,vald,166.4,199.34,-16.524530952142065,2024-08-13 11:40:39
67,Mens Basketball,leftTorque,PLAYER_183,vald,169.17,199.34,-15.134945319554538,2024-08-13 11:40:03
68,Mens Basketball,leftTorque,PLAYER_1186,vald,176.45,199.34,-11.482893548710752,2022-09-23 12:58:37
69,Mens Basketball,leftTorque,PLAYER_557,vald,185.61,199.34,-6.887729507374329,2023-06-26 17:45:55
70,Mens Basketball,rightMaxForce,PLAYER_404,vald,247.5,381.11,-35.058119702972895,2025-09-05 19:09:15
71,Mens Basketball,rightMaxForce,PLAYER_755,vald,299.35,381.11,-21.453123770040143,2025-09-05 19:00:59
72,Mens Basketball,rightMaxForce,PLAYER_252,vald,343.38,381.11,-9.900028863057914,2024-08-13 11:40:39
73,Mens Basketball,rightMaxForce,PLAYER_995,vald,351.07,381.11,-7.882238723728062,2025-09-05 19:05:37
74,Mens Basketball,rightMaxForce,PLAYER_1186,vald,352.74,381.11,-7.44404502637034,2023-03-21 17:55:00
75,Mens Basketball,rightTorque,PLAYER_404,vald,125.45,183.38,-31.59014069146035,2025-06-23 13:41:55
76,Mens Basketball,rightTorque,PLAYER_252,vald,146.79,183.38,-19.953102846548155,2024-06-24 17:41:14
77,Mens Basketball,rightTorque,PLAYER_755,vald,160.04,183.38,-12.727669320536592,2023-06-26 17:55:26
78,Mens Basketball,rightTorque,PLAYER_1186,vald,163.43,183.38,-10.87904896935325,2023-06-26 17:44:18
79,Mens Basketball,rightTorque,PLAYER_068,vald,168.68,183.38,-8.016141345839236,2025-09-05 19:01:54
80,Mens Lax,leftMaxForce,PLAYER_1030,vald,150.5,421.54,-64.2975755562936,2025-09-08 12:01:29
81,Mens Lax,leftMaxForce,PLAYER_147,vald,287.25,421.54,-31.857000521895905,2024-01-23 21:28:13
82,Mens Lax,leftMaxForce,PLAYER_882,vald,289.25,421.54,-31.382549698723732,2021-11-29 18:12:29
83,Mens Lax,leftMaxForce,PLAYER_950,vald,299.92,421.54,-28.851354557100155,2024-01-15 22:42:33
84,Mens Lax,leftMaxForce,PLAYER_916,vald,304.17,421.54,-27.843146557859278,2024-09-09 11:17:40
85,Mens Lax,leftTorque,PLAYER_1030,vald,69.76,186.58,-62.61121234859041,2025-09-08 12:01:29
86,Mens Lax,leftTorque,PLAYER_916,vald,113.61,186.58,-39.109229285025194,2024-09-09 11:17:40
87,Mens Lax,leftTorque,PLAYER_147,vald,124.8,186.58,-33.11180190802873,2024-01-23 21:28:13
88,Mens Lax,leftTorque,PLAYER_481,vald,125.43,186.58,-32.77414513881445,2023-08-31 18:40:40
89,Mens Lax,leftTorque,PLAYER_596,vald,131.28,186.58,-29.6387608532533,2023-01-11 16:06:19
90,Mens Lax,rightMaxForce,PLAYER_1030,vald,169.5,404.12,-58.057012768484604,2025-09-08 12:01:29
91,Mens Lax,rightMaxForce,PLAYER_481,vald,233.5,404.12,-42.220132633871124,2024-01-23 21:46:24
92,Mens Lax,rightMaxForce,PLAYER_147,vald,268.2,404.12,-33.63357418588539,2023-01-13 20:57:40
93,Mens Lax,rightMaxForce,PLAYER_916,vald,269.33,404.12,-33.35395427100862,2025-01-08 21:30:20
94,Mens Lax,rightMaxForce,PLAYER_201,vald,273.0,404.12,-32.44580817578937,2025-09-08 11:51:35
95,Mens Lax,rightTorque,PLAYER_1030,vald,78.56,178.41,-55.96659380079592,2025-09-08 12:01:29
96,Mens Lax,rightTorque,PLAYER_481,vald,91.42,178.41,-48.75847766380808,2024-01-23 21:46:24
97,Mens Lax,rightTorque,PLAYER_916,vald,100.6,178.41,-43.6130261756628,2025-01-08 21:30:20
98,Mens Lax,rightTorque,PLAYER_147,vald,116.46,178.41,-34.72338994450984,2023-01-13 20:57:40
99,Mens Lax,rightTorque,PLAYER_451,vald,122.38,178.41,-31.405190292023992,2024-01-23 21:26:23
100,Mens Soccer,accel_load_accum,PLAYER_205,kinexon,252.38,773.59,-67.37548313706228,2022-04-29 21:30:00
101,Mens Soccer,accel_load_accum,PLAYER_480,kinexon,406.73,773.59,-47.42305355550098,2025-04-22 12:00:00
102,Mens Soccer,accel_load_accum,PLAYER_1171,kinexon,430.98,773.59,-44.28831810131982,2025-03-24 12:00:00
103,Mens Soccer,accel_load_accum,PLAYER_1152,kinexon,483.5,773.59,-37.49919207849119,2024-04-23 17:00:00
104,Mens Soccer,accel_load_accum,PLAYER_1034,kinexon,498.45,773.59,-35.56664382941869,2025-04-17 23:00:00
105,Mens Soccer,distance_total,PLAYER_205,kinexon,1501.74,6934.28,-78.3432454414878,2022-04-29 21:30:00
106,Mens Soccer,distance_total,PLAYER_310,kinexon,3260.39,6934.28,-52.98156405567701,2022-04-29 21:30:00
107,Mens Soccer,distance_total,PLAYER_1171,kinexon,3971.71,6934.28,-42.723541593359364,2025-03-03 13:00:00
108,Mens Soccer,distance_total,PLAYER_480,kinexon,4145.73,6934.28,-40.21398039883016,2025-03-04 13:00:00
109,Mens Soccer,distance_total,PLAYER_291,kinexon,4424.73,6934.28,-36.190491298303506,2022-04-29 21:30:00
110,Mens Soccer,leftMaxForce,PLAYER_902,vald,275.05,396.6,-30.648008068582953,2023-04-24 20:27:44
111,Mens Soccer,leftMaxForce,PLAYER_097,vald,285.67,396.6,-27.970247100353003,2023-08-08 16:11:09
112,Mens Soccer,leftMaxForce,PLAYER_845,vald,308.05,396.6,-22.327281896116997,2024-07-15 15:40:09
113,Mens Soccer,leftMaxForce,PLAYER_033,vald,313.16,396.6,-21.038830055471504,2023-11-14 19:32:31
114,Mens Soccer,leftMaxForce,PLAYER_310,vald,332.27,396.6,-16.220373171961683,2023-01-27 21:31:42
115,Mens Soccer,leftTorque,PLAYER_902,vald,112.63,170.5,-33.94134897360704,2024-02-06 20:31:16
116,Mens Soccer,leftTorque,PLAYER_845,vald,117.62,170.5,-31.014662756598238,2024-10-30 17:56:45
117,Mens Soccer,leftTorque,PLAYER_097,vald,124.64,170.5,-26.897360703812318,2023-08-08 16:11:09
118,Mens Soccer,leftTorque,PLAYER_1077,vald,131.76,170.5,-22.721407624633436,2024-02-06 20:21:59
119,Mens Soccer,leftTorque,PLAYER_1225,vald,140.14,170.5,-17.806451612903235,2023-02-15 21:33:07
120,Mens Soccer,rightMaxForce,PLAYER_097,vald,287.5,395.76,-27.35496260359814,2023-08-08 16:11:09
