,team,metric,playername,data_source,player_mean_value,team_avg_value,percent_difference_from_team_mean,timestamp
0,Baseball,leftMaxForce,PLAYER_418,vald,615.25,415.94,47.917968937827574,2025-09-02 16:52:57
1,Baseball,leftMaxForce,PLAYER_1070,vald,598.75,415.94,43.95105063230274,2024-10-28 21:10:17
2,Baseball,leftMaxForce,PLAYER_035,vald,580.13,415.94,39.47444342934077,2024-10-28 21:05:06
3,Baseball,leftMaxForce,PLAYER_169,vald,576.25,415.94,38.54161657931432,2025-09-02 16:40:14
4,Baseball,leftMaxForce,PLAYER_515,vald,574.75,415.94,38.180987642448436,2025-09-02 16:45:22
5,Baseball,leftTorque,PLAYER_418,vald,290.71,184.79,57.319118999945886,2025-09-02 16:52:57
6,Baseball,leftTorque,PLAYER_1070,vald,285.47,184.79,54.483467720114746,2024-08-28 18:25:43
7,Baseball,leftTorque,PLAYER_188,vald,279.39,184.79,51.19324638779155,2024-08-28 18:39:19
8,Baseball,leftTorque,PLAYER_1220,vald,273.05,184.79,47.762324801125615,2024-08-28 18:21:51
9,Baseball,leftTorque,PLAYER_483,vald,261.72,184.79,41.631040640727335,2024-08-28 18:18:42
10,Baseball,rightMaxForce,PLAYER_035,vald,575.13,400.05,43.76452943382076,2024-10-28 21:05:06
11,Baseball,rightMaxForce,PLAYER_418,vald,563.0,400.05,40.73240844894388,2025-09-02 16:52:57
12,Baseball,rightMaxForce,PLAYER_1070,vald,562.13,400.05,40.51493563304586,2024-10-28 21:10:17
13,Baseball,rightMaxForce,PLAYER_222,vald,562.0,400.05,40.48243969503812,2024-10-28 21:03:23
14,Baseball,rightMaxForce,PLAYER_515,vald,556.25,400.05,39.04511936007999,2025-09-02 16:45:22
15,Baseball,rightTorque,PLAYER_1070,vald,268.1,177.69,50.88074736901347,2024-08-28 18:25:43
16,Baseball,rightTorque,PLAYER_418,vald,266.02,177.69,49.710169396139335,2025-09-02 16:52:57
17,Baseball,rightTorque,PLAYER_222,vald,265.55,177.69,49.44566379649953,2024-10-28 21:03:23
18,Baseball,rightTorque,PLAYER_188,vald,251.07,177.69,41.2966402161067,2024-08-28 18:39:19
19,Baseball,rightTorque,PLAYER_626,vald,245.06,177.69,37.914345207946425,2024-08-28 18:24:23
20,Football,accel_load_accum,PLAYER_353,kinexon,583.37,414.24,40.828988026264966,2025-10-21 12:24:21
21,Football,accel_load_accum,PLAYER_325,kinexon,508.55,414.24,22.766994978756276,2023-08-22 11:49:24
22,Football,accel_load_accum,PLAYER_244,kinexon,480.48,414.24,15.990730011587488,2025-04-05 18:38:29
23,Football,accel_load_accum,PLAYER_816,kinexon,480.07,414.24,15.891753572808028,2024-01-29 13:40:34
24,Football,accel_load_accum,PLAYER_923,kinexon,473.75,414.24,14.366067979915023,2023-09-13 13:29:51
25,Football,distance_total,PLAYER_923,kinexon,4198.3,2926.21,43.472273008430705,2023-09-13 13:29:51
26,Football,distance_total,PLAYER_325,kinexon,3771.88,2926.21,28.899839724421696,2023-10-11 13:29:38
27,Football,distance_total,PLAYER_994,kinexon,3670.3,2926.21,25.428455237320634,2023-10-14 19:12:00
28,Football,distance_total,PLAYER_353,kinexon,3615.98,2926.21,23.572129136323092,2025-10-18 16:46:47
29,Football,distance_total,PLAYER_1058,kinexon,3490.53,2926.21,19.28501372081977,2023-10-21 19:04:29
30,Football,leftMaxForce,PLAYER_1118,vald,729.81,490.77,48.707133687878226,2025-06-09 16:11:55
31,Football,leftMaxForce,PLAYER_223,vald,695.44,490.77,41.70385312875687,2024-07-26 11:36:30
