test_date,test_timestamp,playername,team,leftMaxForce,rightMaxForce,avg_max_force_asymmetry,leftTorque,rightTorque,avg_torque_asymmetry,accel_load_accum,distance_total,accel_distance_test_date,accel_distance_timestamp
3/28/2022,3/28/2022 17:50,PLAYER_1114,Mens Soccer,364,360.5,0.483091787,155.61,154.11375,0.483091787,901.433741,7487.268712,3/28/2022,3/28/2022 15:00
3/28/2022,3/28/2022 17:46,PLAYER_1191,Mens Soccer,399.5,390.75,1.107244543,152.80875,149.461875,1.107244543,989.73926,7667.276983,3/28/2022,3/28/2022 15:00
3/28/2022,3/28/2022 17:42,PLAYER_137,Mens Soccer,334.75,342.5,-1.144333702,146.118375,149.50125,-1.144333702,1186.663474,9503.898488,3/28/2022,3/28/2022 15:00
4/18/2022,4/18/2022 17:46,PLAYER_1114,Mens Soccer,388.75,364,3.287944205,166.190625,155.61,3.287944205,929.730252,8413.833478,4/18/2022,4/18/2022 15:00
4/18/2022,4/18/2022 17:45,PLAYER_1191,Mens Soccer,380.75,343.25,5.179558011,145.636875,131.293125,5.179558011,1051.036222,8082.926256,4/18/2022,4/18/2022 15:00
4/18/2022,4/18/2022 17:37,PLAYER_137,Mens Soccer,381.5,392,-1.357466063,166.52475,171.108,-1.357466063,1484.18129,10297.78079,4/18/2022,4/18/2022 15:00
4/27/2022,4/27/2022 14:35,PLAYER_218,Womens Soccer,315.5,311.25,0.678101316,126.35775,124.655625,0.678101316,859.095875,7275.972821,4/27/2022,4/27/2022 12:30
4/27/2022,4/27/2022 14:59,PLAYER_792,Womens Soccer,311.5,311.75,-0.040112314,130.36275,130.467375,-0.040112314,471.254341,3642.302653,4/27/2022,4/27/2022 12:30
4/27/2022,4/27/2022 14:54,PLAYER_897,Womens Soccer,299.25,280.75,3.189655172,125.236125,117.493875,3.189655172,730.646382,5433.680416,4/27/2022,4/27/2022 12:30
7/6/2022,7/6/2022 18:29,PLAYER_1186,Mens Basketball,304.5,296.5,1.331114809,149.35725,145.43325,1.331114809,485.768655,3285.455968,7/6/2022,7/6/2022 16:30
7/6/2022,7/6/2022 18:34,PLAYER_755,Mens Basketball,320.5,274.5,7.731092437,171.62775,146.99475,7.731092437,406.633599,3201.765947,7/6/2022,7/6/2022 16:30
7/19/2022,7/19/2022 18:44,PLAYER_1186,Mens Basketball,376.75,357.25,2.656675749,174.623625,165.585375,2.656675749,483.78681,3290.976431,7/19/2022,7/19/2022 11:00
7/19/2022,7/19/2022 18:34,PLAYER_557,Mens Basketball,346.5,335.5,1.612903226,160.60275,155.50425,1.612903226,443.385269,3003.386075,7/19/2022,7/19/2022 11:00
7/19/2022,7/19/2022 18:32,PLAYER_755,Mens Basketball,337.5,279.75,9.356014581,180.73125,149.806125,9.356014581,417.514201,3215.584996,7/19/2022,7/19/2022 11:00
7/28/2022,7/28/2022 12:24,PLAYER_084,Womens Soccer,208,217.5,-2.23266745,87.048,91.02375,-2.23266745,255.025142,2627.716734,7/28/2022,7/28/2022 11:00
7/28/2022,7/28/2022 12:21,PLAYER_115,Womens Soccer,156.75,149.25,2.450980392,67.010625,63.804375,2.450980392,289.118057,2923.970895,7/28/2022,7/28/2022 11:00
7/28/2022,7/28/2022 12:19,PLAYER_745,Womens Soccer,256.5,306.5,-8.880994671,88.87725,106.20225,-8.880994671,258.238695,2997.037767,7/28/2022,7/28/2022 11:00
8/5/2022,8/5/2022 13:14,PLAYER_084,Womens Soccer,214.75,218.25,-0.808314088,89.872875,91.337625,-0.808314088,684.494999,5798.128043,8/5/2022,8/5/2022 11:30
8/5/2022,8/5/2022 13:17,PLAYER_1094,Womens Soccer,307.75,278,5.0789586,131.563125,118.845,5.0789586,669.547111,5734.38072,8/5/2022,8/5/2022 11:30
8/5/2022,8/5/2022 13:16,PLAYER_115,Womens Soccer,219.75,187.5,7.918968692,93.943125,80.15625,7.918968692,622.609164,5533.685241,8/5/2022,8/5/2022 11:30
8/5/2022,8/5/2022 13:34,PLAYER_218,Womens Soccer,309,282.75,4.43599493,123.7545,113.241375,4.43599493,631.374861,4634.460948,8/5/2022,8/5/2022 11:30
8/5/2022,8/5/2022 13:27,PLAYER_457,Womens Soccer,289.25,358,-10.62186172,118.447875,146.601,-10.62186172,576.383435,4541.783632,8/5/2022,8/5/2022 11:30
