,playername,team
0,PLAYER_038,Mens Basketball
1,PLAYER_454,Womens Basketball
2,PLAYER_751,Womens Basketball
3,PLAYER_905,Womens Basketball
4,PLAYER_1015,Womens Basketball
5,PLAYER_1204,Mens Basketball
6,PLAYER_1214,Womens Basketball
7,PLAYER_1240,Womens Basketball
8,PLAYER_088,Womens Basketball
9,PLAYER_361,Womens Basketball
10,PLAYER_690,Womens Basketball
11,PLAYER_032,Mens Basketball
12,PLAYER_099,Mens Basketball
13,PLAYER_375,Mens Basketball
14,PLAYER_430,Mens Basketball
15,PLAYER_528,Mens Basketball
16,PLAYER_533,Mens Basketball
17,PLAYER_643,Mens Basketball
18,PLAYER_668,Mens Basketball
19,PLAYER_894,Mens Basketball
20,PLAYER_965,Mens Basketball
21,PLAYER_982,Mens Basketball
22,PLAYER_1162,Mens Basketball
23,PLAYER_1208,Mens Basketball
24,PLAYER_284,Womens Basketball
25,PLAYER_410,Womens Basketball
26,PLAYER_470,Womens Basketball
27,PLAYER_551,Womens Basketball
28,PLAYER_697,Womens Basketball
29,PLAYER_744,Womens Basketball
30,PLAYER_047,Mens Basketball
31,PLAYER_294,Mens Basketball
32,PLAYER_312,Mens Basketball
33,PLAYER_1011,Mens Basketball
34,PLAYER_1053,Mens Basketball
35,PLAYER_756,Mens Basketball
36,PLAYER_914,Mens Basketball
37,PLAYER_1190,Mens Basketball
38,PLAYER_992,Mens Basketball
39,PLAYER_491,Womens Basketball
40,PLAYER_212,Womens Basketball
41,PLAYER_1203,Womens Basketball
42,PLAYER_196,Mens Basketball
43,PLAYER_334,Mens Basketball
44,PLAYER_1247,Mens Basketball
45,PLAYER_1032,Mens Basketball
46,PLAYER_1135,Mens Basketball
47,PLAYER_212,Mens Basketball
48,PLAYER_1047,Mens Basketball
49,PLAYER_1203,Mens Basketball
50,PLAYER_137,Mens Basketball
51,PLAYER_419,Mens Basketball
52,PLAYER_674,Mens Basketball
53,PLAYER_1056,Mens Basketball
54,PLAYER_1114,Mens Basketball
55,PLAYER_1120,Mens Basketball
56,PLAYER_1122,Mens Basketball
57,PLAYER_1191,Mens Basketball
58,PLAYER_1052,Womens Basketball
59,PLAYER_105,Womens Basketball
60,PLAYER_109,Womens Basketball
61,PLAYER_218,Womens Basketball
62,PLAYER_432,Womens Basketball
63,PLAYER_585,Womens Basketball
64,PLAYER_698,Womens Basketball
65,PLAYER_792,Womens Basketball
66,PLAYER_897,Womens Basketball
67,PLAYER_898,Womens Basketball
68,PLAYER_1005,Womens Basketball
69,PLAYER_1034,Womens Basketball
70,PLAYER_1144,Womens Basketball
71,PLAYER_137,Mens Soccer
72,PLAYER_419,Mens Soccer
73,PLAYER_675,Mens Soccer
74,PLAYER_1056,Mens Soccer
75,PLAYER_1114,Mens Soccer
76,PLAYER_1120,Mens Soccer
77,PLAYER_1121,Mens Soccer
78,PLAYER_1191,Mens Soccer
79,PLAYER_105,Womens Soccer
80,PLAYER_109,Womens Soccer
81,PLAYER_218,Womens Soccer
82,PLAYER_432,Womens Soccer
83,PLAYER_585,Womens Soccer
84,PLAYER_698,Womens Soccer
85,PLAYER_792,Womens Soccer
86,PLAYER_897,Womens Soccer
87,PLAYER_898,Womens Soccer
88,PLAYER_1003,Womens Soccer
89,PLAYER_1034,Womens Soccer
90,PLAYER_1144,Womens Soccer
91,PLAYER_205,Mens Soccer
92,PLAYER_291,Mens Soccer
93,PLAYER_310,Mens Soccer
94,PLAYER_366,Mens Soccer
95,PLAYER_490,Mens Soccer
96,PLAYER_617,Mens Soccer
97,PLAYER_715,Mens Soccer
98,PLAYER_1196,Mens Soccer
99,PLAYER_705,Womens Basketball
100,PLAYER_947,Womens Basketball
101,PLAYER_955,Womens Basketball
102,PLAYER_002,Mens Basketball
103,PLAYER_324,Mens Basketball
104,PLAYER_687,Mens Basketball
105,PLAYER_755,Mens Basketball
106,PLAYER_1052,Mens Basketball
107,PLAYER_1186,Mens Basketball
108,PLAYER_693,Mens Basketball
109,PLAYER_074,Mens Basketball
110,PLAYER_557,Mens Basketball
111,PLAYER_293,Womens Basketball
112,PLAYER_333,Womens Basketball
113,PLAYER_741,Womens Basketball
114,PLAYER_1128,Womens Basketball
115,PLAYER_1139,Womens Basketball
116,PLAYER_078,Womens Soccer
117,PLAYER_745,Womens Soccer
118,PLAYER_084,Womens Soccer
119,PLAYER_115,Womens Soccer
120,PLAYER_457,Womens Soccer
121,PLAYER_469,Womens Soccer
122,PLAYER_530,Womens Soccer
123,PLAYER_685,Womens Soccer
124,PLAYER_769,Womens Soccer
125,PLAYER_780,Womens Soccer
126,PLAYER_796,Womens Soccer
127,PLAYER_896,Womens Soccer
128,PLAYER_944,Womens Soccer
129,PLAYER_1094,Womens Soccer
130,PLAYER_1079,Mens Basketball
131,PLAYER_438,Womens Soccer
132,PLAYER_719,Womens Soccer
133,PLAYER_672,Womens Basketball
134,PLAYER_1083,Womens Basketball
135,PLAYER_902,Mens Soccer
136,PLAYER_1077,Mens Soccer
137,PLAYER_063,Mens Soccer
138,PLAYER_796,Mens Soccer
139,PLAYER_910,Mens Soccer
140,PLAYER_1034,Mens Soccer
141,PLAYER_1094,Mens Soccer
142,PLAYER_530,Mens Soccer
143,PLAYER_351,Football
144,PLAYER_023,Football
145,PLAYER_154,Football
146,PLAYER_230,Football
147,PLAYER_021,Football
148,PLAYER_014,Football
149,PLAYER_093,Football
150,PLAYER_244,Football
151,PLAYER_262,Football
152,PLAYER_282,Football
153,PLAYER_325,Football
154,PLAYER_342,Football
155,PLAYER_562,Football
156,PLAYER_567,Football
157,PLAYER_645,Football
158,PLAYER_994,Football
159,PLAYER_1047,Football
160,PLAYER_1008,Football
161,PLAYER_1022,Football
162,PLAYER_1055,Football
163,PLAYER_1124,Football
164,PLAYER_1129,Football
165,PLAYER_1230,Football
166,PLAYER_066,Mens Basketball
167,PLAYER_243,Mens Basketball
168,PLAYER_666,Mens Basketball
169,PLAYER_988,Mens Basketball
170,PLAYER_1000,Mens Basketball
171,PLAYER_006,Mens Basketball
172,PLAYER_008,Mens Basketball
173,PLAYER_111,Mens Basketball
174,PLAYER_136,Mens Basketball
175,PLAYER_672,Mens Basketball
176,PLAYER_682,Mens Basketball
177,PLAYER_743,Mens Basketball
178,PLAYER_789,Mens Basketball
179,PLAYER_1020,Mens Basketball
180,PLAYER_1083,Mens Basketball
