playername,teams
PLAYER_006,"Volleyball, Mens Basketball, Womens Basketball"
PLAYER_008,"Mens Basketball, Womens Basketball"
PLAYER_051,"Womens Lacrosse, Mens Basketball"
PLAYER_078,"Womens Soccer, Mens Soccer"
PLAYER_084,"Womens Soccer, Mens Soccer"
PLAYER_1020,"Mens Basketball, Womens Basketball"
PLAYER_1034,"Womens Basketball, Womens Soccer, Mens Soccer"
PLAYER_1045,"Mens Basketball, Womens Lacrosse"
PLAYER_1047,"Mens Basketball, Football"
PLAYER_105,"Womens Basketball, Womens Soccer"
PLAYER_1052,"Womens Basketball, Mens Basketball"
PLAYER_1053,"Mens Basketball, Football"
PLAYER_1056,"Mens Basketball, Mens Soccer"
PLAYER_1083,"Womens Basketball, Mens Basketball"
PLAYER_109,"Womens Basketball, Womens Soccer"
PLAYER_1092,"Mens Basketball, Womens Basketball"
PLAYER_1094,"Womens Soccer, Mens Soccer"
PLAYER_111,"Mens Basketball, Womens Basketball"
PLAYER_1114,"Mens Soccer, Mens Basketball"
PLAYER_112,"Womens Soccer, Mens Soccer"
PLAYER_1120,"Mens Basketball, Mens Soccer"
PLAYER_1144,"Womens Basketball, Womens Soccer"
PLAYER_115,"Womens Soccer, Mens Soccer"
PLAYER_1152,"Womens Soccer, Mens Soccer"
PLAYER_1171,"Womens Soccer, Mens Soccer"
PLAYER_1190,"Mens Basketball, Volleyball, Womens Basketball"
PLAYER_1191,"Mens Soccer, Mens Basketball"
PLAYER_1203,"Womens Basketball, Mens Basketball"
PLAYER_122,"Mens Basketball, Womens Basketball"
PLAYER_128,"Volleyball, Womens Soccer"
PLAYER_131,"Mens Basketball, Womens Lacrosse"
PLAYER_136,"Mens Basketball, Womens Basketball"
PLAYER_137,"Mens Soccer, Mens Basketball"
PLAYER_212,"Womens Basketball, Mens Basketball"
PLAYER_218,"Womens Soccer, Womens Basketball"
PLAYER_227,"Womens Lacrosse, Mens Basketball"
PLAYER_419,"Mens Basketball, Mens Soccer"
PLAYER_432,"Womens Basketball, Womens Soccer, Mens Soccer"
PLAYER_438,"Womens Soccer, Mens Soccer"
PLAYER_469,"Womens Soccer, Mens Soccer"
PLAYER_480,"Womens Soccer, Mens Soccer"
PLAYER_530,"Womens Soccer, Mens Soccer"
PLAYER_585,"Womens Basketball, Womens Soccer"
PLAYER_620,"Womens Lacrosse, Mens Basketball"
PLAYER_646,"Womens Lacrosse, Mens Basketball"
PLAYER_648,"Volleyball, Mens Basketball, Womens Basketball"
PLAYER_672,"Womens Basketball, Mens Basketball, Womens Soccer, Volleyball"
PLAYER_682,"Mens Basketball, Womens Basketball"
PLAYER_685,"Womens Soccer, Mens Soccer"
PLAYER_698,"Womens Basketball, Womens Soccer, Mens Soccer"
PLAYER_719,"Womens Soccer, Mens Soccer"
PLAYER_743,"Volleyball, Mens Basketball, Womens Basketball"
PLAYER_746,"Womens Soccer, Mens Soccer"
PLAYER_756,"Mens Basketball, Womens Basketball"
PLAYER_769,"Womens Soccer, Mens Soccer"
PLAYER_780,"Womens Soccer, Mens Soccer"
PLAYER_789,"Volleyball, Mens Basketball, Womens Basketball"
PLAYER_792,"Womens Soccer, Womens Basketball"
PLAYER_796,"Womens Soccer, Mens Soccer"
PLAYER_803,"Womens Soccer, Mens Soccer"
PLAYER_854,"Mens Basketball, Womens Basketball, Womens Soccer"
PLAYER_855,"Mens Soccer, Womens Soccer"
PLAYER_897,"Womens Soccer, Womens Basketball"
PLAYER_898,"Womens Basketball, Womens Soccer"
PLAYER_910,"Mens Soccer, Womens Soccer"
PLAYER_944,"Womens Soccer, Mens Soccer"
