playername,team,flag_reason,metric_value,last_test_date,test_date
PLAYER_014,Football,Not Tested in > 30 days,,,2025-06-02
PLAYER_021,Football,High Max Force Asymmetry,10.47244094488189,2024-03-08,
PLAYER_021,Football,High Torque Asymmetry,10.472440944881887,2024-03-08,
PLAYER_021,Football,High Max Force Asymmetry,10.944267975743577,2024-07-03,
PLAYER_021,Football,High Torque Asymmetry,10.944267975743577,2024-07-03,
PLAYER_021,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_033,Mens Soccer,Not Tested in > 30 days,,,2024-10-30
PLAYER_042,Womens Basketball,High Max Force Asymmetry,14.64968152866242,2025-09-02,
PLAYER_042,Womens Basketball,High Torque Asymmetry,14.649681528662416,2025-09-02,
PLAYER_052,Womens Soccer,Not Tested in > 30 days,,,2023-07-26
PLAYER_066,Mens Basketball,Not Tested in > 30 days,,,2024-06-24
PLAYER_084,Womens Soccer,High Max Force Asymmetry,12.257531985142386,2023-07-17,
PLAYER_084,Womens Soccer,High Torque Asymmetry,12.257531985142384,2023-07-17,
PLAYER_093,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_1022,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_1036,Mens Basketball,High Max Force Asymmetry,10.23119851182567,2025-06-23,
PLAYER_1036,Mens Basketball,High Torque Asymmetry,10.231198511825674,2025-06-23,
PLAYER_1036,Mens Basketball,Not Tested in > 30 days,,,2025-06-23
PLAYER_1047,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_1050,Mens Basketball,Not Tested in > 30 days,,,2025-06-23
PLAYER_1055,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_1077,Mens Soccer,Not Tested in > 30 days,,,2025-08-01
PLAYER_1079,Mens Basketball,Not Tested in > 30 days,,,2024-06-24
PLAYER_1104,Mens Soccer,Not Tested in > 30 days,,,2025-08-01
PLAYER_1114,Mens Soccer,High Max Force Asymmetry,12.046257629296498,2023-08-08,
PLAYER_1114,Mens Soccer,High Torque Asymmetry,12.0462576292965,2023-08-08,
PLAYER_1114,Mens Soccer,Not Tested in > 30 days,,,2024-10-30
PLAYER_1126,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_1128,Womens Basketball,High Max Force Asymmetry,11.03896103896104,2022-08-24,
PLAYER_1128,Womens Basketball,High Torque Asymmetry,11.038961038961034,2022-08-24,
PLAYER_1128,Womens Basketball,High Max Force Asymmetry,11.497105045492145,2022-09-19,
PLAYER_1128,Womens Basketball,High Torque Asymmetry,11.497105045492145,2022-09-19,
PLAYER_1128,Womens Basketball,High Max Force Asymmetry,14.702581369248035,2022-12-13,
PLAYER_1128,Womens Basketball,High Torque Asymmetry,14.702581369248032,2022-12-13,
PLAYER_1128,Womens Basketball,High Max Force Asymmetry,11.659034871433605,2024-02-14,
PLAYER_1128,Womens Basketball,High Torque Asymmetry,11.6590348714336,2024-02-14,
PLAYER_1128,Womens Basketball,Not Tested in > 30 days,,,2024-10-21
PLAYER_1129,Football,Not Tested in > 30 days,,,2023-08-20
PLAYER_1186,Mens Basketball,Not Tested in > 30 days,,,2025-06-23
PLAYER_1191,Mens Soccer,Not Tested in > 30 days,,,2022-08-10
PLAYER_1196,Mens Soccer,High Max Force Asymmetry,-12.99864314789688,2023-08-21,
