,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_1079,2022-07-28 19:20:00,0.235409,,,,,
1,PLAYER_1079,2022-08-31 17:00:05,2.17208,5.382061,,,,
2,PLAYER_1079,2022-09-01 17:00:00,278.265967,1902.505577,,,,
3,PLAYER_1079,2022-09-06 17:01:59,299.363088,2020.858013,,,,
4,PLAYER_1079,2022-09-07 17:00:00,10.481225,23.08911,,,,
5,PLAYER_1079,2022-09-08 17:00:26,191.974195,1373.099871,,,,
6,PLAYER_1079,2022-09-12 12:10:45,,,335.75,140.511375,364.75,152.647875
7,PLAYER_1079,2022-09-13 17:00:00,110.533898,641.312577,,,,
8,PLAYER_1079,2022-09-14 17:20:00,279.033922,2173.950058,,,,
9,PLAYER_1079,2022-09-15 17:00:00,209.767864,1716.95774,,,,
10,PLAYER_1079,2022-09-16 11:50:01,103.682453,714.697067,,,,
11,PLAYER_1079,2022-09-19 16:00:00,485.100476,4074.215407,,,,
12,PLAYER_1079,2022-09-21 17:06:05,352.348784,1952.68684,,,,
13,PLAYER_1079,2022-09-23 18:00:00,162.371722,1643.761648,,,,
14,PLAYER_1079,2022-09-26 17:13:40,490.448871,4710.521039,,,,
15,PLAYER_1079,2022-10-03 17:30:00,5.892954,8.213518,,,,
16,PLAYER_1079,2022-10-04 17:10:00,351.336378,2313.777922,,,,
17,PLAYER_1079,2022-10-05 17:35:19,343.455526,2155.083816,,,,
18,PLAYER_1079,2022-10-06 11:00:05,227.538892,2935.775088,,,,
19,PLAYER_1079,2022-10-10 20:00:00,404.31652,2876.371973,,,,
20,PLAYER_1079,2022-10-11 16:54:43,452.736114,3025.499781,,,,
21,PLAYER_1079,2022-10-14 20:23:51,479.525557,2875.595157,,,,
22,PLAYER_1079,2022-10-15 17:02:41,494.368084,3131.796882,,,,
23,PLAYER_1079,2022-10-17 16:48:49,450.289595,2868.555196,,,,
24,PLAYER_1079,2022-10-18 17:26:48,565.000683,3892.155587,,,,
25,PLAYER_1079,2022-10-21 17:00:00,458.054501,3265.794617,,,,
26,PLAYER_1079,2022-10-22 13:17:27,617.644707,4132.513831,,,,
27,PLAYER_1079,2022-11-04 17:00:00,116.752844,986.679742,,,,
28,PLAYER_1079,2023-04-07 17:55:00,29.777939,145.619974,,,,
29,PLAYER_1079,2023-04-10 17:38:15,,,567.0,262.8045,462.25,214.252875
30,PLAYER_1079,2023-04-18 16:30:22,624.292075,5399.241614,,,,
31,PLAYER_1079,2023-04-19 16:45:00,347.004313,1860.904869,,,,
32,PLAYER_1079,2023-04-20 16:40:00,418.238801,3987.882145,,,,
33,PLAYER_1079,2023-04-21 17:24:10,1.361124,6.159153,,,,
34,PLAYER_1079,2023-04-24 17:38:53,,,509.25,236.037375,444.75,206.141625
35,PLAYER_1079,2023-04-24 17:43:00,398.872947,2975.35537,,,,
36,PLAYER_1079,2023-04-26 17:08:35,231.708238,1679.0854,,,,
37,PLAYER_1079,2023-06-26 17:45:09,,,575.0,266.5125,466.75,216.338625
